name,hex
black,#000000
silver,#c0c0c0
gray,#808080
white,#ffffff
maroon,#800000
red,#ff0000
purple,#800080
fuchsia,#ff00ff
green,#008000
lime,#00ff00
olive,#808000
yellow,#ffff00
navy,#000080
blue,#0000ff
teal,#008080
aqua,#00ffff
aliceblue,#f0f8ff
antiquewhite,#faebd7
aqua,#00ffff
aquamarine,#7fffd4
azure,#f0ffff
beige,#f5f5dc
bisque,#ffe4c4
blanchedalmond,#ffebcd
blue,#0000ff
blueviolet,#8a2be2
brown,#a52a2a
burlywood,#deb887
cadetblue,#5f9ea0
chartreuse,#7fff00
chocolate,#d2691e
coral,#ff7f50
cornflowerblue,#6495ed
cornsilk,#fff8dc
crimson,#dc143c
cyan,#00ffff
darkblue,#00008b
darkcyan,#008b8b
darkgoldenrod,#b8860b
darkgray,#a9a9a9
darkgreen,#006400
darkgrey,#a9a9a9
darkkhaki,#bdb76b